Category,Level1,Level2,Level3,Level4,Budget,,GovXFer,State,Local,Total,
,Intl relations & Defence,Defence,Day-to-day Spending,Equipment and Infrastructure,14577.296,b,,,,14577.296,
,Intl relations & Defence,Defence,Day-to-day Spending,Service Personnel,11555.008,b,,,,11555.008,
,Intl relations & Defence,Defence,Day-to-day Spending,Civilian Personnel,2566.41,b,,,,2566.41,
,Intl relations & Defence,Defence,Day-to-day Spending,Administration Costs,702.919,b,,,,702.919,
,Intl relations & Defence,Defence,Day-to-day Spending,Operations Costs,282,b,,,,282,
,Intl relations & Defence,Defence,Day-to-day Spending,Research and Development,195,b,,,,195,
,Intl relations & Defence,Defence,Day-to-day Spending,Other,12064.75,b,,,,12064.75,
,Intl relations & Defence,Defence,Investment,Single Use Military Equipment,9681.026,b,,,,9681.026,
,Intl relations & Defence,Defence,Investment,Other Capital & Estate (net),3625.325,b,,,,3625.325,
,Intl relations & Defence,Defence,Investment,Research and Development,961,b,,,,961,
,Intl relations & Defence,Defence,Investment,Operations Costs,18,b,,,,18,
,Intl relations & Defence,Defence,Investment,Other,47.313,b,,,,47.313,
,Intl relations & Defence,Foreign Affairs and International Developent,Day-to-day Spending,Strategic priorities/other programme,3963.947,b,,,,3963.947,
,Intl relations & Defence,Foreign Affairs and International Developent,Day-to-day Spending,"Operating costs, diplomacy and networks",1651.742,b,,,,1651.742,
,Intl relations & Defence,Foreign Affairs and International Developent,Day-to-day Spending,"Conflict, Stability and Security Fund",720.585,b,,,,720.585,
,Intl relations & Defence,Foreign Affairs and International Developent,Day-to-day Spending,EU attributed aid,608,b,,,,608,
,Intl relations & Defence,Foreign Affairs and International Developent,Day-to-day Spending,"Subscriptions, scholarships and BBC",258.73,b,,,,258.73,
,Intl relations & Defence,Foreign Affairs and International Developent,Day-to-day Spending,British Council,189,b,,,,189,
,Intl relations & Defence,Foreign Affairs and International Developent,Day-to-day Spending,Funding for NDPBs ,40.177,b,,,,40.177,
,Intl relations & Defence,Foreign Affairs and International Developent,Day-to-day Spending,Other central programmes,181.043,b,,,,181.043,
,Intl relations & Defence,Foreign Affairs and International Developent,Investment,Strategic priorities/other programme,1759.514,b,,,,1759.514,
,Intl relations & Defence,Foreign Affairs and International Developent,Investment,Investment in the CDC,646,b,,,,646,
,Intl relations & Defence,Foreign Affairs and International Developent,Investment,"Operating costs, diplomacy and networks",108.526,b,,,,108.526,
,Intl relations & Defence,Foreign Affairs and International Developent,Investment,British Council,70,b,,,,70,
,Intl relations & Defence,International Trade,Day-to-day Spending,Operating and Programme costs,506.675,b,,,,506.675,
,Intl relations & Defence,International Trade,Day-to-day Spending,Trade Remedies Authority,14.579,b,,,,14.579,
,Intl relations & Defence,International Trade,Investment,Operating and Programme costs,154.626,b,,,,154.626,
,Infrastructure & Investment,Transport,Day-to-day Spending,Railways (net),15067.886,b,,,,15067.886,
,Infrastructure & Investment,Transport,Day-to-day Spending,Roads (net),2600.965,b,,,,2600.965,
,Infrastructure & Investment,Transport,Day-to-day Spending,Buses,574.209,b,,,,574.209,
,Infrastructure & Investment,Transport,Day-to-day Spending,Central administration & ALBs,521.92,b,,,,521.92,
,Infrastructure & Investment,Transport,Day-to-day Spending,"Aviation, maritime and security (net)",520.268,b,,,,520.268,
,Infrastructure & Investment,Transport,Day-to-day Spending,Greater London Authority transport grant,500,b,,,,500,
,Infrastructure & Investment,Transport,Day-to-day Spending,Local Authority Transport,380.921,b,,,,380.921,
,Infrastructure & Investment,Transport,Day-to-day Spending,High Speed Two,224.536,b,,,,224.536,
,Infrastructure & Investment,Transport,Day-to-day Spending,Sustainable Travel,143.937,b,,,,143.937,
,Infrastructure & Investment,Transport,Day-to-day Spending,Transport Development Fund,50,b,,,,50,
